OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF3N,14.3,26500,2020-05-12
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF3N,14.3,27000,2020-05-13
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF3N,13.8,30000,2020-06-02
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Campbell Lake,3N,13.8,16050,2020-09-17
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Campbell Lake,3N,13.02,25350,2020-09-21
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Campbell Lake,3N,15.3,20000,2020-09-24
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Campbell Lake,3N,21.02,3855,2020-10-06
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF2N,22.21,5000,2020-10-14
MEDLEY RIVER,,SE11-65-2-W4,54.604201,-110.186494,RNTR,Trout Lodge/Jumpers,AF3N,19.35,1500,2020-05-30
MICHEL RESERVOIR,MICHELLE RESERVOIR,NE5-7-3-W4,49.531283,-110.372274,BNTR,Bow River,3N,19.89,6570,2020-05-07
MICHEL RESERVOIR,MICHELLE RESERVOIR,NE5-7-3-W4,49.531283,-110.372274,BNTR,Bow River,3N,18.41,2430,2020-05-07
MICHEL RESERVOIR,MICHELLE RESERVOIR,NE5-7-3-W4,49.531283,-110.372274,RNTR,Trout Lodge/Jumpers,AF3N,19.3,25000,2020-05-27
MICHEL RESERVOIR,MICHELLE RESERVOIR,NE5-7-3-W4,49.531283,-110.372274,RNTR,Trout Lodge/Kamloops,AF2N,22.24,5000,2020-09-29
MICHICHI RESERVOIR,,SW19-30-18-W4,51.582647,-112.52946,RNTR,Trout Lodge/Jumpers,AF2N,19.8,5600,2020-05-04
MILLERS LAKE,,SW8-53-19-W5,53.560075,-116.768896,RNTR,Trout Lodge/Jumpers,AF3N,19.38,9262,2020-05-27
MILLERS LAKE,,SW8-53-19-W5,53.560075,-116.768896,RNTR,Trout Lodge/Jumpers,AF3N,19.38,1288,2020-05-27
MILLERS LAKE,,SW8-53-19-W5,53.560075,-116.768896,RNTR,Trout Lodge/Jumpers,AF3N,19.91,2000,2020-06-02
MILLERS LAKE,,SW8-53-19-W5,53.560075,-116.768896,TGTR,Beitty/Bow River,3N,22.81,1450,2020-09-15
MITCHELL LAKE,,NE25-37-8-W5,52.216312,-115.007692,BNTR,Bow River,3N,18.3,500,2020-05-20
MITCHELL LAKE,,NE25-37-8-W5,52.216312,-115.007692,RNTR,Campbell Lake,3N,18,2000,2020-05-25
MITCHELL LAKE,,NE25-37-8-W5,52.216312,-115.007692,TGTR,Beitty/Bow River,3N,16.9,700,2020-09-01
MITCHELL LAKE,,NE25-37-8-W5,52.216312,-115.007692,TGTR,Beitty/Bow River,3N,20,300,2020-09-01
MITCHELL POND,WASKASOO PARK POND,NW18-38-27-W4,52.269458,-113.853351,RNTR,Trout Lodge/Kamloops,AF3N,21.76,1110,2020-05-05
MITCHELL POND,WASKASOO PARK POND,NW18-38-27-W4,52.269458,-113.853351,RNTR,Trout Lodge/Kamloops,AF3N,20.3,1000,2020-06-18
MONTAGANEUSSE LAKE,STONEY LAKE,NE31-86-3-W6,56.504886,-118.461339,BKTR,Beitty Resort,3N,20.4,6000,2020-05-25
MONTAGANEUSSE LAKE,STONEY LAKE,NE31-86-3-W6,56.504886,-118.461339,TGTR,Beitty/Bow River,3N,22.81,1975,2020-09-14
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,RNTR,Trout Lodge/Kamloops,AF3N,15.58,1600,2020-05-26
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,BNTR,Bow River,3N,21.62,500,2020-05-26
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,TGTR,Beitty/Bow River,3N,20.39,1500,2020-09-17
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,TGTR,Beitty/Bow River,3N,9.74,2500,2020-09-17
MOONSHINE LAKE,MIRAGE LAKE,SE31-79-8-W6,55.886111,-119.227778,BNTR,Bow River,3N,27.72,500,2020-09-17
MOUNT LORETTE PONDS,,SW19-23-8-W5,50.969566,-115.107943,RNTR,Trout Lodge/Jumpers,AF3N,20.1,1600,2020-05-14
MOUNT LORETTE PONDS,,SW19-23-8-W5,50.969566,-115.107943,RNTR,Trout Lodge/Jumpers,AF3N,20.6,800,2020-06-19
MOUNT LORETTE PONDS,,SW19-23-8-W5,50.969566,-115.107943,RNTR,Trout Lodge/Jumpers,AF3N,20.5,800,2020-07-15
MOUNT LORETTE PONDS,,SW19-23-8-W5,50.969566,-115.107943,RNTR,Trout Lodge/Jumpers,AF3N,23.1,1600,2020-07-28
MUIR LAKE,,NW32-53-27-W4,53.624675,-113.956437,RNTR,Trout Lodge/Jumpers,AF3N,19.79,3000,2020-05-08
MUIR LAKE,,NW32-53-27-W4,53.624675,-113.956437,BNTR,Bow River,3N,20.22,500,2020-05-08
MUIR LAKE,,NW32-53-27-W4,53.624675,-113.956437,BNTR,Bow River,3N,27.7,433,2020-09-18
MUIR LAKE,,NW32-53-27-W4,53.624675,-113.956437,RNTR,Trout Lodge/Kamloops,AF3N,21.02,150,2020-09-18
NIEMELA RESERVOIR,RAY'S POND,SE1-39-3-W5,52.322935,-114.292729,RNTR,Trout Lodge/Kamloops,AF3N,21.85,1500,2020-04-30
NIEMELA RESERVOIR,RAY'S POND,SE1-39-3-W5,52.322935,-114.292729,RNTR,Trout Lodge/Kamloops,AF3N,20.3,1500,2020-06-18
OBED LAKE,,SW11-53-22-W5,53.566667,-117.133333,BNTR,Bow River,3N,18.65,8403,2020-05-22
OBED LAKE,,SW11-53-22-W5,53.566667,-117.133333,BNTR,Bow River,3N,21.94,3735,2020-05-22
OLE LAKE,,NW30-84-12-W6,56.316771,-119.894419,RNTR,Trout Lodge/Jumpers,AF2N,19.93,3000,2020-06-02
OUTPOST LAKE,POLICE LAKE,NE6-1-26-W4,49.011823,-113.456699,RNTR,Trout Lodge/Jumpers,AF3N,19,5000,2020-05-05
PARKER LAKE,,SE25-70-5-W5,55.084708,-114.621162,BKTR,Beitty Resort,3N,14.57,2700,2020-10-07
PARKER LAKE,,SE25-70-5-W5,55.084708,-114.621162,RNTR,Trout Lodge/Jumpers,AF3N,9.51,7800,2020-10-07
PARLBY RESERVOIR,TEES FISH POND,NE25-40-24-W4,52.471946,-113.316718,RNTR,Trout Lodge/Kamloops,AF3N,21.76,535,2020-05-05
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,17.8,14500,2020-04-30
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,15,29511,2020-04-30
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,15,53871,2020-05-01
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Trout Lodge/Jumpers,AF3N,15,27618,2020-05-04
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Campbell Lake,3N,7.2,11915,2020-06-03
PAYNE LAKE,MAMI LAKE,NE10-2-28-W4,49.1117,-113.655837,RNTR,Beitty Resort,3N,7.4,27000,2020-06-03
