WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,STRAIN,GENOTYPE,AVG. LENGTH
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-05-06,RAINBOW TROUT,15,MOUNT LASSEN,2N,53.51
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-05-30,RAINBOW TROUT,25,LYNDON,AF2N,25.73
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-06-15,RAINBOW TROUT,26,LYNDON,AF2N,26.98
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-05-06,RAINBOW TROUT,5,CAMPBELL LAKE,2N,53.51
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-08-14,RAINBOW TROUT,25,LYNDON,AF2N,28
26447,UNNAMED,KIDS CAN CATCH POND,-114.017656,51.041403,SW13-24-1-W5,2017-05-13,RAINBOW TROUT,40,LYNDON,AF2N,25.73
6773,UNNAMED,KRAFT WIMBORNE POND,-113.620127,51.859122,SE28-33-26-W4,2017-05-18,BROOK TROUT,200,BEITTY RESORT,3N,21.7
6773,UNNAMED,KRAFT WIMBORNE POND,-113.620127,51.859122,SE28-33-26-W4,2017-05-18,RAINBOW TROUT,368,TROUT LODGE/SILVER'S,AF3N,18.5
6773,UNNAMED,KRAFT WIMBORNE POND,-113.620127,51.859122,SE28-33-26-W4,2017-05-18,RAINBOW TROUT,288,BEITTY RESORT,3N,21.7
6774,UNNAMED,KRAMER POND,-114.745933,52.906846,SW25-45-6-W5,2017-05-05,RAINBOW TROUT,5008,TROUT LODGE/SILVER'S,AF3N,18.6
20267,UNNAMED,LA CRETE POND,-115.906655,58.197347,SW15-106-12-W5,2017-05-24,RAINBOW TROUT,1500,TROUT LODGE/SILVER'S,AF3N,21.56
